id,style_id,name
1,10,"Special Bitter"
2,10,"Premium Bitter"
3,12,"カスケードダークエール"
4,12,"CDA"
5,16,"スチームビア"
6,16,"Steam Beer"
7,20,"Polotmavý Ležák"
8,21,"Tmavý Ležák"
9,23,"Export Helles"
10,23,"Export"
11,24,"インペリアルIPA"
12,24,"DIPA"
13,27,"ダークヴァイツェン"
14,30,"エクストラ・スペシャル・ビター"
15,32,"FES"
16,32,"Export Stout"
17,33,"Frambozen"
18,33,"Raspberry Lambic"
19,36,"Pils"
20,39,"NEIPA"
21,39,"ニューイングランドIPA"
22,41,"ロシアン・インペリアルスタウト"
23,41,"RIS"
24,43,"インディア・ペール・エール"
25,43,"India Pale Ale"
26,44,"IGA"
27,45,"Common"
28,47,"Kriek Lambic"
29,52,"ニアビア"
30,52,"ビールテイスト飲料"
31,52,"NA Beer"
32,53,"ヘレスボック"
33,53,"Helles Bock"
34,54,"オクトーバーフェスト"
35,55,"Mild"
36,56,"スイートスタウト"
37,56,"クリームスタウト"
38,58,"Stock Ale"
39,59,"フランダース・ブラウンエール"
40,62,"Dessert Stout"
41,65,"ベルジャンダークストロングエール"
42,66,"スモークビール"
43,70,"ブラックラガー"
44,77,"Strong Scotch Ale"
45,78,"ヘフェヴァイツェン"
46,78,"ヴァイスビア"
47,81,"ヴィットビア"
48,81,"ベルジャンホワイト"