id,slug,name,abv_max,abv_min,aroma,bitterness,body,description,history,ibu_max,ibu_min,origin,serving_temp_max,serving_temp_min,sourness,srm_max,srm_min,sweetness
28,eisbock,アイスボック,14,9,4,2,5,ボックやドッペルボックを凍結濃縮して造られる極めて強いドイツのラガー。非常にリッチなモルト風味と高いアルコール、滑らかな口当たりが特徴。,"ドイツのボック、特にドッペルボックを凍結濃縮しアルコール度数を高めた強力なラガー。「アイス」は氷の意味。
伝説では、冬に置き忘れた樽のビールの一部が凍結し、凍らなかった液体部分（高アルコールで凝固点が低い）が非常に濃厚で美味だったことから生まれたとされます。
水分が氷として除去されるため、麦芽風味、甘み、アルコール度数（9-14%以上）が極めて凝縮されます。
色は濃琥珀色～黒色。非常にリッチで複雑なモルト風味（ダークフルーツ、トースト、チョコ等）と強いアルコールの温かみ、驚くほど滑らかな口当たりが特徴です。",35,25,19世紀末？、ドイツ・フランケン地方（伝説）,14,10,1,30,18,5
29,english-brown-ale,イングリッシュ・ブラウンエール,5.5,4,2,2,3,イギリス発祥の伝統的なブラウンエール。ナッツやカラメル、ビスケットのような麦芽の風味が主体で、ホップの苦味や香りは控えめ。穏やかで飲みやすい。,"イギリス古来の茶色エール。現代では南部の甘口濃色タイプと北部のドライ淡色タイプに大別されます。
18世紀ポーター登場以前はブラウンモルトのビールが主流でした。ポーターやペールエールの台頭で一時衰退後、20世紀初頭に瓶詰めビールとして人気復活。
特徴は、色麦芽（クリスタルモルト等）由来のナッツ、カラメル、トフィー、ビスケット等の豊かで香ばしい麦芽風味と甘み。ホップの苦味や香りは非常に穏やかで、麦芽風味を引き立てます。
アルコール度数も比較的低めで、バランスが良く非常に飲みやすいスタイルです。ニューカッスル・ブラウンエール等が有名。",30,15,17世紀以前～、現代の形は20世紀初頭、イギリス,13,10,1,22,12,3
30,esb,ESB,6.2,4.6,3,3,3,エクストラ・スペシャル・ビター(Extra Special Bitter)の略称で、イギリス発祥のエールビール。モルトの風味とイングリッシュホップのバランスが特徴で、名前の「ビター」ほど苦くはなく、むしろバランスの取れた味わいが楽しめます。,"イギリス発祥の「ビター」の中でも、特にアルコール度数が高く（4.6～6.2%程度）、風味豊かなタイプ。「ESB」は「エクストラ・スペシャル・ビター」の略です。
「ビター」は19世紀に、甘口のマイルドエールと区別するためにホップを効かせたペールエール系を指す言葉として使われ始め、強さで分類されるようになりました。
「ESB」の名称は、ロンドンのフラーズ醸造所が1971年に発売した銘柄「フラーズ ESB」が有名になり、スタイルの代名詞となりました。
麦芽の風味（ビスケット、カラメル）とイギリス産ホップの香り（土、花、果実）、しっかりとした苦味のバランスが特徴です。ベストビターより飲みごたえがありつつ、エールらしい飲みやすさも持ちます。",50,30,20世紀半ば（名称普及は1971年頃）、イギリス,13,10,1,18,6,3
31,flanders-red-ale,フランダース・レッドエール,6.5,4.6,4,1,3,ベルギー・フランダース地方発祥の赤褐色のサワービール。オーク樽で長期熟成され、酢のような酸味と果実味、ワインに似た複雑さが特徴。ほのかな甘みとバランスの取れた酸味を持ち、「赤いワインのようなビール」とも称されます。,"ベルギー北部のフランダース地方（特にウェスト・フランダース州）発祥の、独特の酸味を持つ赤みがかったエールビールです。
ローデンバッハ醸造所（1821年創業）がこのスタイルの象徴的な存在とされています。
その製法は非常に複雑です。まず通常の上面発酵酵母で主発酵を行った後、オーク製 の巨大な木桶（フーダー）で長期間（1～2年以上）熟成させます。この木桶には乳酸菌やブレタノマイセス野生酵母など、様々な微生物が棲みついており、これらがゆっくりとビールに作用することで、独特の酸味（乳酸由来の爽やかな酸味に加え、時には酢酸由来のツンとした酸味も）と複雑な風味（チェリー、プラム、カシスなどの果実、オーク樽由来の香りなど）を生み出します。
通常、製品化される際には、熟成させた古いビールと若いビールをブレンドし、味わいのバランスを調整します。ホップの存在感はほとんどありません。",25,10,19世紀頃～、ベルギー・フランダース地方,13,10,4,16,10,3
32,foreign-extra-stout,フォーリン・エクストラスタウト,8,6,4,4,4,熱帯地域など海外市場向けに造られた強いスタウト。ドライスタウトよりアルコール度数が高く、ロースト感や苦味が強いことが多い。豊かな風味と飲みごたえ。,"英・アイルランドで醸造され、主に熱帯地域（カリブ海、アフリカ等）の海外市場へ輸出用に造られた高アルコール（6-8%）濃厚スタウト。
長い輸送や高温多湿気候に耐えるため、また現地嗜好に合わせ、高比重で醸造され高アルコールに。味はドライスタウトよりボディ豊かで、麦芽の甘み、ロースト香（コーヒー、チョコ）、ホップ苦味がより強いことが多い。フルーツ様の香りや微かな酸味を持つことも。
ギネス社の「ギネス・フォーリンエクストラスタウト」が代表格で、世界各地でライセンス生産され親しまれています。",70,30,18世紀末～19世紀、イギリス/アイルランド（輸出用）,13,10,1,40,30,3
33,framboise,フランボワーズ,8,5,5,0,2,ラズベリーを使用して造られるフルーツランビック。ラズベリーの華やかな香りと甘酸っぱさ、ランビックの酸味が調和したエレガントな味わい。,"ベルギーのフルーツランビックで、ラズベリーを使うもの。「Framboise」は仏語でラズベリー。
クリーク同様、ランビックに新鮮なラズベリーを加え再発酵・熟成。ラズベリーの繊細で華やかな香りが特徴のエレガントなアロマに。
ランビックのしっかりした酸味とラズベリー特有の甘酸っぱさ、豊かなベリー香が一体となり、複雑かつ飲みやすい洗練された味わい。
色は鮮やかなピンク～ルビーレッド。クリークと並ぶ代表的スタイル。甘みを加えた製品も多い。",10,0,20世紀初頭、ベルギー,12,8,5,6,3,3
34,fruit-beer,フルーツビール,8,4,5,2,3,様々な果物を使用して醸造されたビール。ベルギーのランビックをベースとしたものから、現代のクラフトビールまで幅広いバリエーションがあります。フルーティーな香りと味わいが楽しめる個性的なスタイルです。,"ビールに果物（Fruit）を加えて風味を付けたものの総称です。発酵飲料に果物を加えること自体は、古代から世界各地で行われてきたと考えられています。その目的は、風味や香りの付与、色の変化、糖分添加による発酵の促進やアルコール度数の調整、酸味の付与、保存性の向上など様々でした。
歴史的に確立されたスタイルとしては、ベルギーのランビックにチェリーを加えた「クリーク」やラズベリーを加えた「フランボワーズ」などが有名です。
現代のクラフトビールシーンにおいては、特定の醸造法やスタイルというよりも、ブルワーの創造性により、ペールエール、IPA、スタウト、サワーエール、ヴァイツェンなど、多種多様なベースビールに様々な果物（果汁、ピューレ、果実そのものなど）を投入して造られる、非常に幅広いカテゴリーを指します。
果物の風味が主役となるものから、ベースのビールを引き立てる脇役となるものまで、その表現は無限大です。",40,5,古代 / 世界各地,8,5,3,15,3,4
35,fruit-lambic,フルーツランビック,8,5,5,0,2,ランビックにフルーツを加えて二次発酵させたベルギービール。チェリー(Kriek)やラズベリー(Framboise)が代表的。ベースの酸味と果実の風味が融合した複雑な味わい。,"ベルギーの自然発酵ビール「ランビック」に果物を加えて造る伝統スタイル。
一次発酵後のランビックに新鮮な果物を漬け込み、果物の糖分で二次発酵・熟成させます。
最も有名なのはサワーチェリーの「クリーク(Kriek)」とラズベリーの「フランボワーズ(Framboise)」。他にも桃、杏、カシス等様々。
ランビック由来の強い酸味と複雑な野生酵母香に、果実の甘み・香り・色が融合し、甘酸っぱく複雑かつ爽快な味わいに。甘味の度合いは製品による。",10,0,19世紀～20世紀初頭（商業化）、ベルギー,12,8,5,7,3,3
36,german-pilsner,ジャーマン・ピルスナー,5.2,4.4,3,3,2,ドイツで発展したピルスナー。チェコのオリジナルに比べ、よりドライで苦味がシャープ、炭酸が強い。ホップのフローラル、スパイシーな香りが特徴。,"1842年チェコ・ピルゼンで生まれたピルスナーが独に伝わり、国内醸造家が独自進化させたスタイル。「Pils」とも呼ばれ、独で最も人気あるスタイルの一つ。
オリジナルのボヘミアン・ピルスナーがやや豊かな麦芽風味とザーツホップの柔らかい香りを特徴とするのに対し、ジャーマン・ピルスナーはより淡色麦芽を使用し発酵度を高め、さらにドライでクリスプな飲み口を追求。
ホップもより前面に出、独産ノーブルホップ（ハラタウ等）由来のフローラル、スパイシー、ハーバルな香りとシャープでしっかりした苦味が特徴。高炭酸で爽快。",40,22,19世紀後半（1870年代～）、ドイツ,7,4,1,5,2,1
37,gose,ゴーゼ,4.8,4.2,3,1,2,ドイツ発祥の小麦ビールで、塩と コリアンダーを加えて醸造される伝統的なサワービール。さわやかな酸味と軽いしょっぱさが特徴で、複雑ながらも爽快感のある独特の味わいが楽しめます。,"ドイツ中部の都市ゴスラー（Goslar）で中世（13世紀頃の記録あり）に発祥したとされる、非常に古い歴史を持つ上面発酵の小麦ビールです。名前はゴスラーを流れるゴーゼ川に由来します。
後にライプツィヒ市で人気を博し、19世紀にはその地の名物となりました。最大の特徴は、乳酸菌発酵による爽やかな酸味、そして原料水由来（後に塩を添加）の明確な塩味です。さらに、ベルギーの白ビールのようにコリアンダーシードで風味付けされることも多く、これらが独特の風味を生み出します。
第二次世界大戦後のドイツ分断や嗜好の変化により、ほぼ絶滅状態に陥りましたが、1980年代以降にライプツィヒで復活の動きがあり、さらに近年のクラフトビールブームの中で世界的に再注目されました。
伝統的なスタイルに加え、様々なフルーツを加えたゴーゼも人気を集めています。",12,5,中世（13世紀頃）、ドイツ・ゴスラー（後にライプツィヒへ）,8,5,4,4,3,1
38,gueuze,グーズ,8,5,5,0,2,若いランビックと古いランビックをブレンドし、瓶内二次発酵させたベルギーの伝統的なサワービール。強い炭酸と複雑な酸味、ファンキーな香りが特徴。「ブリュッセルのシャンパン」とも呼ばれる。,"自然発酵ビール「ランビック」をベースにした、ベルギー・ブリュッセル周辺の伝統的スタイル。
通常、熟成年数の異なる複数（1年、2年、3年熟成等）のランビックを専門のブレンダーが絶妙な比率でブレンドします。
ブレンド後、瓶詰めされ、瓶内二次発酵により非常にきめ細かく力強い炭酸ガスが生まれます。「ブリュッセルのシャンパン」とも呼ばれます。
味わいは、鋭い酸味とドライな口当たり、ランビック由来の複雑でファンキーな香り（干し草、馬小屋、柑橘等）が見事に調和しています。熟成によってさらに風味が変化する奥深いビールです。",10,0,19世紀頃、ベルギー・ブリュッセル周辺,12,8,5,7,3,1
39,hazy-ipa,ヘイジーIPA,9,6,5,3,4,濁った外観と、ジューシーでトロピカルなホップの風味が特徴的なIPA。通常のIPAに比べて苦みが控えめで、オレンジやマンゴーなどのフルーティーな味わいが前面に出ています。ニューイングランドIPAとも呼ばれます。,"2010年代にアメリカ北東部（ニューイングランド地方、特にバーモント州）で誕生した、比較的新しいIPAのサブスタイルです。「NEIPA（ニューイングランドIPA）」とも呼ばれます。
その名の通り、意図的に酵母やホップ由来の成分を残し、濁った（Hazy）外観を持つのが特徴です。
醸造の特徴として、苦味を抑えるために煮沸時のホップ投入を控えめにする一方、アロマを最大限に引き出すために、ワールプール（煮沸後）や発酵中・発酵後（ドライホッピング）に大量のホップ（特にCitra, Mosaic, Galaxyなど、トロピカルフルーツや柑橘系の香りが強い品種）を投入します。
また、オーツ麦や小麦を多く使用したり、水質（ミネラルバランス）を調整したりすることで、滑らかで柔らかい口当たり（マウスフィール）と、爆発的でジューシーなホップアロマを実現しています。
その斬新なスタイルは急速に世界中のクラフトビールシーンに広まりました。",60,25,2010年代前半～中頃、アメリカ北東部（ニューイングランド地方）,10,7,1,7,3,3
40,helles,ヘレス,5.4,4.7,2,2,2,ミュンヘン発祥の淡色ラガービール。「ヘレス(Hell)」はドイツ語で「明るい」という意味を持ち、その名の通り澄んだ黄金色が特徴。モルトの甘みを前面に出しつつ、穏やかなホップの苦味とさわやかな後味が楽しめる飲みやすいビールです。,"ドイツ語で「明るい、淡い色 (Hell)」を意味する、南ドイツ・ミュンヘン発祥の淡色ラガービールです。
19世紀後半、チェコのピルスナーが世界的に大成功を収めたのに対抗し、ミュンヘンの醸造家たちが独自の淡色ラガーを開発しようとしたのが始まりです。シュパーテン醸造所が1894年に初めて醸造したものが元祖とされています。
ピルスナーと同じく黄金色でクリアですが、ホップの苦味や香りが前面に出ているピルスナーに対し、ヘレスは麦芽（モルト）の風味をより重視しているのが特徴です。ピルスナーモルト由来の、パンや穀物を思わせるクリーンで柔らかな麦芽の甘みと旨味があり、ホップの苦味や香りは非常に穏やかで、全体のバランスを整える役割に留まります。
すっきりとした飲み口と喉越しの良さから、ミュンヘンでは伝統的なデュンケルに代わって日常的に最も飲まれるビールとなりました。",22,16,1894年、ドイツ・ミュンヘン,7,4,1,5,3,2
41,imperial-stout,インペリアルスタウト,12,8,5,4,5,通常のスタウトよりも高いアルコール度数と濃厚な風味を持つ強いスタウト。濃厚なロースト麦芽の風味、コーヒーやダークチョコレートのノート、時に焦げたような深い苦みが特徴の複雑かつパワフルなビールです。,"18世紀ロンドンで、ロシア帝国（特にエカチェリーナ2世の宮廷）への輸出用に醸造された高アルコール（8-12%以上）スタウト。「ロシアン・インペリアルスタウト（RIS）」とも呼ばれます。
長い船旅と寒冷な気候に耐えるため、またインペリアルスタウトの影響を受け、通常のスタウト等より多くの麦芽でアルコール度数を極めて高くし、劣化や凍結を防いだとされます。スレール醸造所（後のバークレイ・パーキンス）等が生産しました。
特徴は濃厚な黒色、フルボディ、チョコレート、コーヒー、ダークフルーツ、ロースト麦芽等の複雑で力強い風味と、アルコールの温かみです。
一時生産が途絶えましたが、現代クラフトビール・ムーブメントで再評価され、特にアメリカで多様な解釈（バレルエイジ等）と共に復活しました。",90,50,18世紀、イギリス・ロンドン,16,12,1,40,30,4
42,international-dark-lager,インターナショナル・ダークラガー,6,4.2,2,1,2,世界各国のマスマーケット向けダークラガー。色は濃いが、味わいは比較的軽く、甘みが感じられることが多い。ロースト感は控えめ。,"欧州伝統ダークラガー（デュンケル、シュバルツ等）をベースに、世界各地で大量生産向けにアレンジされたスタイル。
色は濃茶色～黒だが、多くはカラメル着色料使用か濃色麦芽の使用が最小限。そのため見た目に反し味は比較的軽く、スタウト等の強いロースト感/苦味はほぼない。
むしろ麦芽由来の甘みやカラメル風味が主体で、時に副原料（糖類等）の甘さが加わることも。ホップ感は非常に弱く、ラガーらしいクリーンさはあるが全体的に風味が希薄で甘みが後を引く傾向。
アジアやラテンアメリカ等で見られる、色が濃いが飲みやすい大衆向けダークラガーが該当。",20,8,20世紀、世界各地（ヨーロピアン・ダークラガーが起源）,7,4,1,22,14,3
43,ipa,IPA,7.5,5.5,4,4,3,ホップの香りと苦味が特徴的なインディア・ペール・エール。アメリカンスタイルは柑橘系やトロピカルフルーツのような香りが強く、イングリッシュスタイルはより伝統的で穏やかな味わいがあります。,"大英帝国時代、イギリスから遠く離れた植民地インドへビールを輸送する必要がありました。
長い赤道越えの船旅では、通常のペールエールは腐敗しやすかったため、その対策として考案されたのが起源という説が有名です。
具体的には、防腐効果を持つホップの使用量を大幅に増やし、アルコール度数も高めることで、過酷な輸送環境に耐えうるビールが造られました。ロンドンのボウ醸造所のジョージ・ホジソンなどがインド向け輸出で成功を収めました。
ただし、単にインド向けに特別に造られたというより、当時存在した高ホップ・高アルコールの保存用エールがインド貿易に使われたという見方もあります。
一時は衰退しましたが、20世紀後半のアメリカでクラフトブルワー達がこのスタイルを再発見し、特にアメリカ産ホップの華やかな香りを前面に出す形で復活・発展させ、現代クラフトビールの代表格となりました。",70,40,18世紀末～19世紀初頭、イギリス,10,7,1,14,6,2
44,italian-grape-ale,イタリアン・グレープエール,10,5,4,2,3,イタリア発祥で、醸造過程でブドウ（果汁、果皮、マスト等）を使用したビール。ワインとビールの特徴を併せ持ち、フルーティーで複雑な味わい。,"2000年代半ば以降にイタリアのクラフトブルワーによって生み出され発展した新しいスタイル。「IGA」と略される。
ワイン生産が盛んなイタリアならではの発想で、醸造過程（発酵・熟成時等）にブドウ、ブドウ果汁（マスト）、搾りかす（ヴィナッチャ）等を加えるのが最大の特徴。
使用ブドウ品種（白/黒）、投入時期/形態、ベースビール（主にエール）により味わいは非常に多様。
一般的に、ビール本来の風味に加え、ブドウ由来のフルーティーな香り（ワイン様アロマ）、時にはタンニンや酸味が感じられ、ビールとワインの境界にあるような複雑でユニークな飲み物に。近年BJCP等にも追加され世界的認知度向上。",40,15,2000年代半ば～、イタリア,12,8,2,15,4,2
45,kentucky-common,ケンタッキーコモン,5.5,4,2,2,3,19世紀後半～禁酒法時代にケンタッキー州ルイビル周辺で人気だった歴史的ビール。やや色が濃く、酸味があったとされる。クリームエールに似た側面も。,"19世紀後半～米禁酒法時代（1920-33）まで、特にケンタッキー州ルイビル周辺で非常に人気だった歴史的スタイル。「コモン」は「一般的」等の意味。
記録や再現レシピによると、色はやや濃い目（アンバー～ライトブラウン）、原料は大麦麦芽に加えトウモロコシが多く（25-35%+）使われた模様。上面発酵で急速醸造・消費され、しばしば乳酸菌等による軽い酸味（サワーマッシュ製法の可能性も）を持っていたと考えられている。
クリームエール同様、ラガー対抗のエールだが、色が濃く酸味があった点が異なる。禁酒法と共にほぼ消滅したが、近年歴史的スタイルへの関心からクラフトで再現される試みも。",30,15,19世紀後半、アメリカ・ケンタッキー州,13,10,2,19,11,2
46,kolsch,ケルシュ,5.2,4.4,2,2,2,ドイツのケルン地方発祥の上面発酵ビール。澄んだ淡い黄金色で、エールとラガーの特性を併せ持ち、軽快でクリアな味わいと微かなフルーティーさが調和した飲みやすいスタイルです。,"ドイツ西部の都市ケルン（Köln）でのみ醸造することが許されている（ケルシュ協定による地理的表示保護）、伝統的なビアスタイルです。
その製法はユニークで、「ハイブリッド」スタイルの一つとされます。上面発酵（エール）酵母を使用し、エールとしてはやや低温で発酵させた後、下面発酵（ラガー）ビールのように低温で長期間熟成（ラガーリング）させます。
この醸造法により、エール酵母由来の微かでフルーティーな香り（リンゴや白ワインのようとも表現される）を持ちながらも、ラガーのようにクリアで、キレがあり、すっきりとしたドライな飲み口が実現されています。
色は淡い黄金色で、ホップの苦味や香りは穏やか。アルコール度数も標準的です。
伝統的に「シュタンゲ」と呼ばれる細長い円柱形のグラス（通常0.2L）で提供されるのも特徴です。",30,18,中世からの進化、現代の形は20世紀半ば、ドイツ・ケルン,7,4,1,5,3.5,1
47,kriek,クリーク,8,5,5,0,2,サワーチェリーを使用して造られるフルーツランビック。ランビックの酸味とチェリーの甘酸っぱい風味が特徴。鮮やかな赤色も魅力。,"ベルギーのフルーツランビックで、サワーチェリー（多くは地元品種）を使うもの。「Kriek」はフラマン語でチェリー。
ランビックに大量のチェリーを漬け込み、果実の糖分で再発酵、数ヶ月～一年以上熟成。核からアーモンド香が出ることも。
ランビック由来のシャープな酸味と複雑なアロマに、チェリーの鮮やかな赤色、フルーティーな香り、甘酸っぱい風味が加わり、奥行きのある味わいに。
伝統的なものは辛口だが、甘みを加えたタイプも多い。食前酒やデザート代わりにも。",10,0,19世紀～20世紀初頭、ベルギー,12,8,5,17,10,3
48,kristallweizen,クリスタルヴァイツェン,5.6,4.3,3,1,2,ヘフェヴァイツェンを濾過して酵母を取り除いた、透明なドイツの小麦ビール。「クリスタル」のようにクリアな外観が特徴。味わいはヘフェヴァイツェンに似るが、よりクリーンでシャープ。,"ドイツ小麦ビール「ヴァイツェン」の一種。「クリスタル」の名が示す通り、酵母を濾過し、水晶のように透明な外観を持つのが最大の特徴。
基本的な原料や醸造法、酵母由来の風味（バナナやクローブ香）は無濾過のヘフェヴァイツェンと共通。
しかし酵母が除去されているため濁りがなくクリア。酵母由来の複雑さやボディ感がやや抑えられ、よりクリーンでシャープ、軽快な飲み口に感じられる傾向があります。
炭酸ガス圧は高く爽快。かつては人気がありましたが現在は生産量が減少。ヘフェヴァイツェンの香りは好きだが濁りが苦手な人に好まれることも。",15,8,20世紀、ドイツ,6,3,1,4,2,2
49,kvass,クワス,2.5,0.5,3,0,2,東ヨーロッパ（特にロシア、ウクライナ）の伝統的な微アルコール発酵飲料。ライ麦パンをベースに作られ、軽い酸味と香ばしさを持つ。,"ロシア、ウクライナ等東欧/中央アジアのスラブ系民族で中世から飲まれる伝統発酵飲料。厳密にはビールと異なるが穀物(主にライ麦)原料で発酵する点で共通。
伝統製法では乾燥ライ麦パン(黒パン)を湯に浸し糖分抽出し、酵母(時に乳酸菌も)で発酵。ミントやベリー等で風味付けも。
アルコール度数は非常に低く(多くは0.5-1.5%)、子供から大人まで日常的に飲むソフトドリンクに近い存在。味はパン由来の香ばしさと軽い酸味、ほのかな甘みが特徴。微炭酸あり。
現在もこれらの地域で非常にポピュラーで、家庭や路上、スーパー等で販売。",0,0,中世、東ヨーロッパ/中央アジア,10,4,2,30,15,3
50,lager,ラガー,6,4,2,2,2,低温発酵のビールで、クリーンでスッキリとした味わいが特徴。世界で最も多く生産されているビールスタイルのカテゴリーで、ピルスナーもラガーの一種です。日本の一般的なビールもほとんどがラガースタイルです。,"ドイツ語の「貯蔵する（lagern）」に由来する、下面発酵酵母を用いたビール、およびその製法（低温での長期熟成＝ラガーリング）を指します。
その起源は15～16世紀頃の南ドイツ・バイエルン地方に遡ります。当時の醸造家たちが、冬期に低温の洞窟などでビールを貯蔵・熟成させたところ、低温環境に適応した特殊な酵母（後に`Saccharomyces pastorianus`と分類される下面発酵酵母）がゆっくりと働き、雑味の少ないクリーンな味わいで、保存性の高いビールが偶然生まれたと考えられています。
この低温熟成（ラガーリング）技術が確立され、当初はデュンケルのような濃色タイプが主流でしたが、19世紀の製麦技術や醸造学の進歩により、ピルスナーやヘレスといった淡色ラガーが誕生し、世界的な人気を得ました。
冷凍技術の発明・普及により年間を通じた醸造と品質管理が可能となり、現在では世界で最も広く普及しているビールのカテゴリーです。",25,8,中世後期（15～16世紀頃）、南ドイツ・バイエルン地方,7,3,1,6,2,1
51,lambic,ランビック,6.5,5,5,0,2,ベルギー・パヨッテンラント地方の伝統的な自然発酵ビール。培養酵母を使わず、空気中の野生酵母とバクテリアで発酵・熟成させる。強い酸味と複雑で時にファンキーな香りが特徴。ブレンドやフルーツ添加のベースとなる。,"ベルギー、パヨッテンラント地方でのみ造られる稀有な自然発酵ビール。
培養酵母を加えず、空気中の野生酵母（ブレタノマイセス等）やバクテリアを麦汁に取り込み、木樽で長期間（1年～3年以上）発酵・熟成させます。
この伝統的製法により、強い酸味（乳酸、酢酸等）と、「馬小屋」等とも表現されるファンキーで複雑な香り（エステル、フェノール等）が生まれます。
ストレートで飲まれることは少なく、熟成年数の異なるものをブレンドした「グーズ」や、果物を漬け込んだ「フルーツランビック」のベースとして使われることが多い、ユニークなビールです。",10,0,中世～、ベルギー・パヨッテンラント地方,13,10,5,6,3,1
52,low-non-alcoholic-beer,低アルコール/ノンアルコールビール,1.2,0,2,2,2,アルコール度数を意図的に低く抑えた、または完全に除去したビールテイスト飲料。製法や風味は多様。,"アルコール度数を意図的に低く抑えた(Low-Alcohol)、または実質ゼロ(Non-Alcoholic、通常0.5%未満、日本0.00%も)のビールまたはビール風味飲料。
歴史は米禁酒法時代の「ニアビア」(0.5%未満)に遡る。現代では健康志向、飲酒運転への意識、宗教理由、酔わずに風味を楽しみたい等の需要で世界的に市場拡大。
製造法は、通常ビールからアルコール除去（蒸留、膜処理等）、発酵中断、非発酵で香料添加等様々。
近年クラフトブルワリーも参入し、従来のビールに近い風味や特定スタイル（IPA風等）を模した高品質製品も増加。",30,5,20世紀初頭（Near Beer）～現代、世界各地,7,3,1,30,2,2
53,maibock,マイボック,7.4,6.3,3,2,4,春（特に5月）に飲まれるドイツの強いラガービール。伝統的なボックよりも色が淡く、ホップの苦味や香りがやや強調されている。春の訪れを祝う季節のビール。,"ドイツのストロング・ラガー「ボック」の中で、色が淡く（ヘレス）、春、特に5月（Mai）に飲まれるタイプ。「ヘレスボック」とも呼ばれます。
伝統的な濃色ボックと異なり、主にピルスナーモルト等の淡色麦芽を使用するため、色は金色～明るい琥珀色。
味わいは、ボックらしいしっかりした麦芽風味（パン、トースト、甘み）と高めのアルコール（6.3-7.4%）を持ちつつ、伝統ボックよりホップの苦味や香り（フローラル、スパイシー）がやや強調され、より爽やかな印象。
長い冬の終わりと春の訪れを祝う季節のビールとして親しまれています。",35,23,19世紀後半、ドイツ,10,7,1,11,6,3
54,marzen,メルツェン,6.3,5.8,3,2,3,ドイツのオクトーバーフェストの伝統的なビール。琥珀色から銅色の色合いと、リッチなモルトの風味、クリーンでなめらかな口当たりが特徴。バランスの取れた甘みと軽いホップの苦みを持つ秋の季節ビールです。,"ドイツ語で「3月」を意味するバイエルン発祥のラガー。歴史的に夏季の醸造が禁止されたため、3月に保存用に少し強く醸造し、秋まで低温貯蔵したのが「メルツェンビア」です。元々は濃色でした。
19世紀半ばに、ウィーンモルト等を用いた琥珀色のメルツェンが登場（シュパーテン醸造所等が先駆け）。これがミュンヘンの「オクトーバーフェスト」の定番となり、「オクトーバーフェストビア」としても知られます。
トーストやパンのような豊かな麦芽風味とすっきりした後味が特徴。（現代のフェストでは淡色のフェストビアが主流ですが、メルツェンは伝統的スタイルとして重要です。）",24,18,原型は16世紀以前、現代のアンバー版は19世紀半ば、ドイツ・バイエルン地方,10,7,1,17,8,3
55,mild-ale,マイルドエール,4.5,3,2,1,2,イギリスの伝統的な低アルコールエール。「マイルド」はホップの苦味が穏やかであることを意味する。モルトの甘みやカラメル風味が主体で、非常に飲みやすい。,"イギリスで古くから労働者階級に親しまれた低アルコール（3-4%）で苦味が非常に穏やかな上面発酵エール。「マイルド」は元々「若い」ビールを指しましたが、次第に低ホップ・低苦味ビール（特に濃色）を指すように。
19～20世紀半ばに人気でしたが、ラガーやビターの台頭で激減。
一般的には濃色のダークマイルドが主流。麦芽由来のカラメル、トフィー、ナッツ、チョコ等の甘く香ばしい風味が主体で、ホップは最小限。ボディは軽く非常に飲みやすいセッションビール。
近年、リアルエール愛好家やクラフトブルワーにより価値が見直されています。",25,10,17世紀以前～、イギリス,13,10,1,30,6,3
